Species,Age,Breeding_females,Offspring,N.x.female,N.x.male,fertint
Muriqui,0,72.92,0.00,176,195,0
Muriqui,1,73.54,0.00,162,175,0
Muriqui,2,65.70,0.00,139,154,0
Muriqui,3,55.37,0.00,123,129,0
Muriqui,4,55.97,0.00,116,110,0
Muriqui,5,55.11,0.00,122,107,0
Muriqui,6,44.67,0.00,99,94,0
Muriqui,7,35.50,8.00,85,86,1
Muriqui,8,34.93,12.00,72,73,1
Muriqui,9,33.09,7.98,70,67,1
Muriqui,10,30.99,9.96,70,66,1
Muriqui,11,34.02,10.00,66,62,1
Muriqui,12,30.63,13.08,66,58,1
Muriqui,13,26.65,7.01,60,44,1
Muriqui,14,29.28,13.00,59,42,1
Muriqui,15,26.28,10.00,52,39,1
Muriqui,16,26.53,6.91,47,34,1
Muriqui,17,20.96,5.04,43,32,1
Muriqui,18,18.46,4.00,45,55,1
Muriqui,19,18.21,8.00,48,51,1
Muriqui,20,18.00,6.00,57,49,1
Muriqui,21,18.00,6.00,56,47,1
Muriqui,22,17.20,6.00,50,44,1
Muriqui,23,16.88,4.00,48,41,1
Muriqui,24,16.00,8.00,45,37,1
Muriqui,25,16.00,5.00,44,34,1
Muriqui,26,15.07,4.00,43,34,1
Muriqui,27,15.20,5.00,42,31,1
Muriqui,28,14.04,3.00,41,29,1
Muriqui,29,12.60,4.69,39,25,1
Muriqui,30,10.07,2.00,24,8,1
Muriqui,31,9.17,2.00,14,8,1
Muriqui,32,7.36,1.36,8,7,1
Muriqui,33,7.00,2.00,7,7,1
Muriqui,34,7.00,0.00,7,5,1
Muriqui,35,7.00,2.00,7,5,1
Muriqui,36,7.00,0.00,7,4,1
Muriqui,37,7.00,1.00,7,,1
Muriqui,38,6.25,0.00,7,,1
Muriqui,39,5.93,0.00,6,,1
Muriqui,40,4.27,1.00,5,,1
Muriqui,41,1.73,0.00,4,,1
Muriqui,42,0.25,0.00,1,,1
Baboon,0,492.91,0.00,592,506,0
Baboon,1,400.44,0.00,439,371,0
Baboon,2,336.17,0.00,366,310,0
Baboon,3,303.46,0.00,319,277,0
Baboon,4,281.84,3.00,296,256,1
Baboon,5,253.53,107.23,271,228,1
Baboon,6,224.27,118.42,245,219,1
Baboon,7,199.00,108.33,213,231,1
Baboon,8,183.42,102.31,198,223,1
Baboon,9,171.77,96.38,184,219,1
Baboon,10,158.60,85.29,172,207,1
Baboon,11,140.53,77.48,156,191,1
Baboon,12,123.85,71.85,138,174,1
Baboon,13,104.89,61.09,123,156,1
Baboon,14,88.73,50.52,105,135,1
Baboon,15,73.47,40.21,86,111,1
Baboon,16,59.82,31.47,73,87,1
Baboon,17,46.68,25.31,59,63,1
Baboon,18,34.92,18.91,45,42,1
Baboon,19,27.98,13.20,34,30,1
Baboon,20,21.45,10.00,24,19,1
Baboon,21,17.08,8.86,21,11,1
Baboon,22,10.65,1.00,12,6,1
Baboon,23,9.30,2.00,10,4,1
Baboon,24,5.61,0.00,8,2,1
Baboon,25,3.44,0.00,5,,1
Baboon,26,2.26,0.00,3,,1
Baboon,27,0.68,0.00,1,,1
Blue,0,122.78,0.00,187,203,0
Blue,1,111.59,0.00,150,140,0
Blue,2,106.92,0.00,127,117,0
Blue,3,101.55,0.00,122,106,0
Blue,4,93.26,1.00,109,94,1
Blue,5,89.57,6.72,110,82,1
Blue,6,85.74,26.00,116,65,1
Blue,7,81.26,23.28,120,,1
Blue,8,72.99,28.51,107,,1
Blue,9,68.81,28.01,97,,1
Blue,10,64.47,31.08,96,,1
Blue,11,55.63,24.46,87,,1
Blue,12,51.75,28.69,76,,1
Blue,13,50.51,23.88,69,,1
Blue,14,47.40,26.98,67,,1
Blue,15,46.38,19.51,74,,1
Blue,16,35.53,7.50,63,,1
Blue,17,33.09,18.51,56,,1
Blue,18,28.37,11.69,50,,1
Blue,19,29.72,10.76,46,,1
Blue,20,27.77,7.40,42,,1
Blue,21,25.41,12.38,38,,1
Blue,22,22.03,5.00,32,,1
Blue,23,17.24,2.00,27,,1
Blue,24,13.89,6.00,21,,1
Blue,25,11.62,2.73,16,,1
Blue,26,8.24,3.00,9,,1
Blue,27,7.08,1.00,7,,1
Blue,28,5.55,0.00,3,,1
Blue,29,4.90,0.90,2,,1
Blue,30,2.17,0.61,2,,1
Blue,31,1.69,0.00,2,,1
Blue,32,1.37,0.00,2,,1
Blue,33,0.45,0.00,1,,1
Chimpanzee,0,59.15,0.00,81,93,0
Chimpanzee,1,52.75,0.00,66,76,0
Chimpanzee,2,47.90,0.00,58,69,0
Chimpanzee,3,47.33,0.00,56,61,0
Chimpanzee,4,44.83,0.00,56,57,0
Chimpanzee,5,46.00,0.00,53,53,0
Chimpanzee,6,46.13,0.00,52,50,0
Chimpanzee,7,43.19,0.00,55,47,0
Chimpanzee,8,39.58,0.00,51,48,0
Chimpanzee,9,39.47,0.00,45,48,0
Chimpanzee,10,40.90,0.00,48,47,0
Chimpanzee,11,38.93,4.00,50,49,1
Chimpanzee,12,44.58,4.00,61,44,1
Chimpanzee,13,50.33,7.00,62,40,1
Chimpanzee,14,52.16,8.00,63,37,1
Chimpanzee,15,52.04,19.64,64,34,1
Chimpanzee,16,51.67,14.00,58,34,1
Chimpanzee,17,51.47,11.00,58,35,1
Chimpanzee,18,52.09,3.00,57,35,1
Chimpanzee,19,49.21,6.00,55,33,1
Chimpanzee,20,44.89,8.50,52,31,1
Chimpanzee,21,41.84,7.71,51,30,1
Chimpanzee,22,39.75,10.00,50,29,1
Chimpanzee,23,39.26,9.69,46,31,1
Chimpanzee,24,35.96,4.61,45,32,1
Chimpanzee,25,32.26,4.00,43,31,1
Chimpanzee,26,34.29,5.00,40,31,1
Chimpanzee,27,30.42,12.52,40,29,1
Chimpanzee,28,28.17,4.50,35,27,1
Chimpanzee,29,25.64,4.00,32,24,1
Chimpanzee,30,22.69,3.00,27,23,1
Chimpanzee,31,21.19,2.00,25,20,1
Chimpanzee,32,19.77,2.00,24,18,1
Chimpanzee,33,19.49,7.00,21,17,1
Chimpanzee,34,16.37,1.00,20,15,1
Chimpanzee,35,13.00,2.00,16,12,1
Chimpanzee,36,12.84,0.00,14,10,1
Chimpanzee,37,12.18,1.00,14,11,1
Chimpanzee,38,11.10,4.00,14,9,1
Chimpanzee,39,7.40,0.00,12,7,1
Chimpanzee,40,5.00,1.00,9,6,1
Chimpanzee,41,5.00,0.00,6,3,1
Chimpanzee,42,4.11,1.00,6,2,1
Chimpanzee,43,4.13,0.00,6,1,1
Chimpanzee,44,4.20,2.00,6,,1
Chimpanzee,45,3.00,0.00,4,,1
Chimpanzee,46,2.17,0.00,3,,1
Chimpanzee,47,2.00,0.00,2,,1
Chimpanzee,48,2.00,0.00,2,,1
Chimpanzee,49,2.00,1.00,2,,1
Chimpanzee,50,2.00,0.00,2,,1
Chimpanzee,51,2.00,0.00,2,,1
Chimpanzee,52,2.00,0.00,2,,1
Chimpanzee,53,1.14,0.00,2,,1
Chimpanzee,54,0.50,0.00,1,,1
Chimpanzee,55,0.00,0.00,1,,1
Gorilla,0,87.53,0.00,110,129,0
Gorilla,1,76.26,0.00,89,100,0
Gorilla,2,69.86,0.00,78,93,0
Gorilla,3,63.85,0.00,71,88,0
Gorilla,4,61.10,0.00,67,79,0
Gorilla,5,60.38,0.00,67,78,0
Gorilla,6,59.63,0.00,65,75,0
Gorilla,7,58.26,0.00,68,72,0
Gorilla,8,57.04,13.61,64,69,1
Gorilla,9,59.14,21.21,64,69,1
Gorilla,10,53.14,16.80,61,67,1
Gorilla,11,50.13,5.77,56,63,1
Gorilla,12,47.00,11.03,53,61,1
Gorilla,13,45.35,18.14,52,52,1
Gorilla,14,42.52,8.31,49,49,1
Gorilla,15,41.67,3.00,47,37,1
