"","Code","Year","TFR","C","W15","W20","W25","W30","W35","W40","W45","W","iTFR","p2534","qx","lagTFR","CWR","mult","p15","p20","p25","p30","p35","p40","p45","decade"
"1","AUT",1951,2.021,519897,219734.5,246460,295508,205413,269071.5,294979,286984.5,1818150.5,2.00163792821331,0.275511295682068,0.05986,NA,0.285948275459045,NA,0.120856056745577,0.135555334940644,0.162532199617138,0.11297909606493,0.147991874160032,0.162241244605438,0.157844193866239,"1950"
"2","AUT",1952,2.061,521442,212146,237360,286867,228451,245720,292318,287811,1790673,2.03839226927529,0.287778952382708,0.05207,NA,0.291198895610756,NA,0.11847277531967,0.132553514795834,0.160200661985745,0.127578290396962,0.137222150554568,0.163244768866231,0.16072783808099,"1950"
"3","AUT",1953,2.094,503688,205720,232131,273394,256907,216768,291461,287131,1763512,1.99931500324353,0.300707338538099,0.04979,NA,0.28561642903479,NA,0.116653586706527,0.131629952050227,0.155028148376648,0.145679190161451,0.122918358366714,0.165273046058093,0.162817718280341,"1950"
"4","AUT",1954,2.156,491509,206080,225347,260545,283314,192129,288318,287382,1743115,1.97380149904051,0.312004084641576,0.0484,NA,0.281971642720073,NA,0.118225131445716,0.129278332181181,0.149470918441985,0.162533166199591,0.11022164343718,0.165403889014781,0.164866919279566,"1950"
"5","AUT",1955,2.289,487230,227484,218913,248554,293583,182680,283276,287606,1742096,1.95776237360054,0.311198119965834,0.04637,2.1242,0.279680339085791,7.59509948730579,0.130580633903068,0.125660698377127,0.142675260146398,0.168522859819436,0.104862188995325,0.162606423526602,0.165091935232042,"1950"
"6","AUT",1956,2.486,491073,252557,209773,238594,289608,198203,264266,289263,1742264,1.97301384864751,0.303169898476924,0.04444,2.2172,0.281859121235358,7.86634113624655,0.144959087715754,0.120402533714753,0.136944802854217,0.166225095622707,0.113761749080507,0.151679653600143,0.166027077411919,"1950"
"7","AUT",1957,2.572,505981,272887,202458,230049,279491,223138,240227,285263,1733513,2.04317302494991,0.293934917130705,0.04451,2.3194,0.291881860707131,7.94636567815787,0.157418490660295,0.116790586514206,0.132706821350633,0.161228095780072,0.128720119203029,0.138578135843227,0.164557750648539,"1950"
"8","AUT",1958,2.6,522818,286011,197083,225082,266603,251245,212106,284523,1722653,2.12447080172269,0.285423123519362,0.04073,2.4206,0.303495828817527,7.9757274076256,0.166029374459047,0.114406673891956,0.130660092311104,0.154763031208258,0.145847712801127,0.12312752481202,0.165165590516488,"1950"
"9","AUT",1959,2.688,540564,295258,198003,218059,253862,277034,187916,281411,1711543,2.21084016001935,0.275728392450555,0.04035,2.527,0.315834308574193,8.00103070311749,0.172509834693023,0.115686839302314,0.127404920589199,0.148323471861356,0.1618621325903,0.109793326840167,0.164419474123642,"1950"
"10","AUT",1960,2.696,561333,284800,220717,211489,242448,287231,178669,276707,1702061,2.30857237196552,0.266698432077346,0.03755,2.6084,0.329796053137931,7.90913043131261,0.167326552926129,0.129676315948723,0.124254653622873,0.142443778454474,0.168754821360692,0.104972148471765,0.162571729215345,"1960"
"11","AUT",1961,2.786,580476,258697,247778,203587,233564,284133,194431,258508,1680698,2.417645525847,0.26010086285579,0.03329,2.6684,0.345377932263857,7.72602922980451,0.153922358448692,0.147425652913254,0.121132410462796,0.138968452392994,0.169056546744269,0.115684673867643,0.153809905170352,"1960"
"12","AUT",1962,2.8,596764,242949,269190,198650,226737,275519,219852,235822,1668719,2.50332620411226,0.254918293613245,0.03292,2.714,0.357618029158894,7.5891028379728,0.145590120325831,0.161315356270289,0.119043409944994,0.135874883668251,0.165108085903019,0.13174896432533,0.141319179562287,"1960"
"13","AUT",1963,2.821,611933,243665,281877,194501,222644,263426,247965,208452,1662530,2.57651350652319,0.250909758019404,0.03134,2.7582,0.368073358074742,7.49361489901672,0.146562768792142,0.16954701569295,0.11699097159149,0.133918786427914,0.158448870095577,0.149149188285324,0.125382399114602,"1960"
"14","AUT",1964,2.795,627699,243180,290284,196822,216896,251929,273979,185058,1658148,2.64987986597095,0.249506075452855,0.02903,2.7796,0.378554266567279,7.34267249238887,0.14665759630624,0.175065193215563,0.118699898923377,0.130806176529477,0.151933964881301,0.165231933458292,0.111605236685748,"1960"
"15","AUT",1965,2.703,638287,240277,278634,219096,211092,241120,284436,176258,1650913,2.70638670844557,0.260575814715857,0.02775,2.781,0.386626672635081,7.19298537021747,0.145541891062703,0.168775701687491,0.132712020560744,0.127863794155113,0.146052517606924,0.172290120678679,0.106763954248346,"1960"
