"","Code","Year","TFR","C","W15","W20","W25","W30","W35","W40","W45","W","iTFR","p2534","qx","lagTFR","CWR","mult","p15","p20","p25","p30","p35","p40","p45","decade","xTFR","zTFR"
"1","AUT",1951,2.021,519897,219734.5,246460,295508,205413,269071.5,294979,286984.5,1818150.5,2.00163792821331,0.275511295682068,0.05986,NA,0.285948275459045,NA,0.120856056745577,0.135555334940644,0.162532199617138,0.11297909606493,0.147991874160032,0.162241244605438,0.157844193866239,"1950",2.06012314539243,2.01644316642964
"2","AUT",1954,2.156,491509,206080,225347,260545,283314,192129,288318,287382,1743115,1.97380149904051,0.312004084641576,0.0484,NA,0.281971642720073,NA,0.118225131445716,0.129278332181181,0.149470918441985,0.162533166199591,0.11022164343718,0.165403889014781,0.164866919279566,"1950",1.9105576615377,1.92735043287932
"3","AUT",1956,2.486,491073,252557,209773,238594,289608,198203,264266,289263,1742264,1.97301384864751,0.303169898476924,0.04444,2.2172,0.281859121235358,7.86634113624655,0.144959087715754,0.120402533714753,0.136944802854217,0.166225095622707,0.113761749080507,0.151679653600143,0.166027077411919,"1950",1.93905488242055,1.99788954391477
"4","AUT",1957,2.572,505981,272887,202458,230049,279491,223138,240227,285263,1733513,2.04317302494991,0.293934917130705,0.04451,2.3194,0.291881860707131,7.94636567815787,0.157418490660295,0.116790586514206,0.132706821350633,0.161228095780072,0.128720119203029,0.138578135843227,0.164557750648539,"1950",2.03968126136082,2.10390018118014
"5","AUT",1958,2.6,522818,286011,197083,225082,266603,251245,212106,284523,1722653,2.12447080172269,0.285423123519362,0.04073,2.4206,0.303495828817527,7.9757274076256,0.166029374459047,0.114406673891956,0.130660092311104,0.154763031208258,0.145847712801127,0.12312752481202,0.165165590516488,"1950",2.15119606680307,2.21066675014642
"6","AUT",1959,2.688,540564,295258,198003,218059,253862,277034,187916,281411,1711543,2.21084016001935,0.275728392450555,0.04035,2.527,0.315834308574193,8.00103070311749,0.172509834693023,0.115686839302314,0.127404920589199,0.148323471861356,0.1618621325903,0.109793326840167,0.164419474123642,"1950",2.27463227246227,2.32272456939172
"7","AUT",1960,2.696,561333,284800,220717,211489,242448,287231,178669,276707,1702061,2.30857237196552,0.266698432077346,0.03755,2.6084,0.329796053137931,7.90913043131261,0.167326552926129,0.129676315948723,0.124254653622873,0.142443778454474,0.168754821360692,0.104972148471765,0.162571729215345,"1960",2.41017911407034,2.42213559812356
"8","AUT",1962,2.8,596764,242949,269190,198650,226737,275519,219852,235822,1668719,2.50332620411226,0.254918293613245,0.03292,2.714,0.357618029158894,7.5891028379728,0.145590120325831,0.161315356270289,0.119043409944994,0.135874883668251,0.165108085903019,0.13174896432533,0.141319179562287,"1960",2.66300858013794,2.60298918832017
"9","AUT",1966,2.663,642955,249850,252363,244887,204054,232971,281977,191951,1658053,2.71443976760695,0.270763962310011,0.02783,2.7564,0.387777109658135,7.10820708945416,0.150688789803462,0.152204422898424,0.147695519986394,0.123068442323617,0.140508777463688,0.170065130608008,0.115768916916407,"1960",2.81538438572027,2.81179674422519
"10","AUT",1967,2.621,641479,252340,238679,266200,199570,226909,273893,217522,1675113,2.6806269189004,0.27805288359651,0.0262,2.7206,0.382946702700057,7.10438288361739,0.150640583650178,0.142485312931128,0.158914652324948,0.119138231271562,0.135458921278744,0.163507178321701,0.12985512022174,"1960",2.7475142558353,2.75813308641485
